trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.2, 'e': 0.13394745350085685}",30,13,20.21053441018483,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.12992902989583113}",20,14,14.044414611518295,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.2, 'e': 0.1260311589989562}",20,0,24.738244989643118,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.2, 'e': 0.12225022422898751}",20,12,5.590069080488165,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.2, 'e': 0.11858271750211788}",25,11,25.578642643037917,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.2, 'e': 0.11502523597705434}",25,0,27.676813725319523,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.2, 'e': 0.1115744788977427}",25,20,10.391340936526383,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.2, 'e': 0.10822724453081042}",25,12,12.83319829259062,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.2, 'e': 0.10498042719488611}",30,12,28.729535228264474,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.10183101437903952}",25,11,20.80887588482887,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.2, 'e': 0.09877608394766833}",20,0,18.170100841577003,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,16,16.82013157874717,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,6,24.35321737675256,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,10,24.286935748725938,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,33.87904450780437,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,20,19.473893673117747,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,10,24.630262668636583,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,3,28.422629320557157,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,6,25.50115279295803,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,7,32.18443091284538,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,9,17.52914600799402,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
